GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Labtools,edu.eci.cvds.Labtools.dto,BookingDTO,4,27,0,0,1,11,1,8,1,8
Labtools,edu.eci.cvds.Labtools.dto,UserRegisterDTO,0,17,0,0,0,7,0,5,0,5
Labtools,edu.eci.cvds.Labtools.dto,CreateBookingDTO,4,27,0,0,1,11,1,8,1,8
Labtools,edu.eci.cvds.Labtools.dto,DeleteBookingDTO,0,17,0,0,0,7,0,5,0,5
Labtools,edu.eci.cvds.Labtools.dto,UserDTO,0,24,0,0,0,10,0,7,0,7
Labtools,edu.eci.cvds.Labtools.dto,CreateUserDTO,0,31,0,0,0,13,0,9,0,9
Labtools,edu.eci.cvds.Labtools.model,Lab,0,59,0,4,0,17,0,10,0,8
Labtools,edu.eci.cvds.Labtools.model,Booking,2,43,1,1,1,14,1,10,0,10
Labtools,edu.eci.cvds.Labtools.model,Admin,0,6,0,0,0,3,0,1,0,1
Labtools,edu.eci.cvds.Labtools.model,BasicUser,0,6,0,0,0,3,0,1,0,1
Labtools,edu.eci.cvds.Labtools.model,User,9,79,1,3,3,28,2,17,1,16
Labtools,edu.eci.cvds.Labtools.controller,BookingController,12,16,0,0,3,5,2,2,2,2
Labtools,edu.eci.cvds.Labtools.controller,QueryController,0,16,0,0,0,5,0,3,0,3
Labtools,edu.eci.cvds.Labtools.controller,AdminController,36,60,3,7,8,13,3,8,1,5
Labtools,edu.eci.cvds.Labtools.controller,LoginController,0,19,0,0,0,6,0,3,0,3
Labtools,edu.eci.cvds.Labtools.service,BasicEmailVerificationService,0,35,0,6,0,9,0,5,0,2
Labtools,edu.eci.cvds.Labtools.service,BasicBookingService,122,194,9,9,25,50,9,11,3,8
Labtools,edu.eci.cvds.Labtools.service,BasicQueryService,0,107,0,10,0,27,0,9,0,4
Labtools,edu.eci.cvds.Labtools.service,BasicLogService,5,60,1,3,1,13,1,3,0,2
Labtools,edu.eci.cvds.Labtools.service,JwtService,12,49,1,1,4,14,2,4,1,4
Labtools,edu.eci.cvds.Labtools.service,BasicUserService,5,76,1,7,1,17,1,6,0,3
Labtools,edu.eci.cvds.Labtools.service,BasicHashService,0,13,0,0,0,3,0,3,0,3
Labtools,edu.eci.cvds.Labtools.service,BasicLabService,0,42,0,4,0,11,0,5,0,3
Labtools,edu.eci.cvds.Labtools,ExceptionController,0,19,0,0,0,4,0,4,0,4
Labtools,edu.eci.cvds.Labtools,LabToolsException,0,17,0,0,0,8,0,2,0,2
Labtools,edu.eci.cvds.Labtools,LabtoolsApplication,5,3,0,0,2,1,1,1,1,1
Labtools,edu.eci.cvds.Labtools.config,JwtFilter,14,62,3,5,6,17,3,3,0,2
Labtools,edu.eci.cvds.Labtools.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
Labtools,edu.eci.cvds.Labtools.config,SecurityConfig,0,41,0,0,0,8,0,5,0,5
Labtools,edu.eci.cvds.Labtools.config,CorsConfig.new WebMvcConfigurer() {...},0,50,0,0,0,7,0,2,0,2
